Country,Flood,Earthquake,Mass movement,Storm,Wildfire,Volcanic eruption,Average IDP of all
Country,0,0,0,0,0,0,15295619.67
China,1,1,0.987,0.987,0.913,0,8946364.833
Philippines,0.962,0.925,0.901,1,0.506,0.987,8892192
India,0.987,0.851,0.777,0.975,0.493,0,2761366
Pakistan,0.975,0.938,0.827,0.604,0,0,2587018.667
Bangladesh,0.938,0.53,0.962,0.962,0,0,1747237.333
United States,0.641,0.592,0.679,0.95,1,0.876,1258578.5
Indonesia,0.925,0.962,0.938,0.74,0.765,1,1132738.833
Cuba,0.086,0,0,0.938,0,0,1015796.333
Nigeria,0.95,0,0,0.456,0,0,1000712.333
Myanmar,0.901,0.777,0.802,0.901,0.469,0,848358.3333
Viet Nam,0.691,0.518,0.703,0.925,0.629,0,768789.8333
Japan,0.604,0.913,1,0.913,0.456,0.802,687547.3333
Chile,0.148,0.987,0.888,0.172,0.901,0.925,609025.1667
Nepal,0.753,0.975,0.925,0.493,0.703,0,596868.6667
Colombia,0.913,0.654,0.913,0.481,0.617,0.962,353968.8333
Somalia,0.839,0,0,0.629,0.802,0,557975
Sri Lanka,0.876,0,0.876,0.839,0.555,0,531476.3333
Thailand,0.888,0,0.469,0.716,0.543,0,470040.5
Brazil,0.864,0.567,0.975,0.827,0.518,0,349555.5
Ethiopia,0.851,0,0.617,0.32,0.851,0.888,411925.6667
Mexico,0.777,0.864,0.604,0.864,0.827,0.814,375858
Haiti,0.123,0.95,0,0.814,0,0,318607.3333
Dem. Rep. Congo,0.765,0.691,0.814,0.641,0.839,0.975,317037
South Sudan,0.827,0,0,0.333,0.679,0,309938.5
Niger,0.814,0,0,0,0,0,308418
Sudan,0.802,0,0,0,0,0,236064.1667
Kenya,0.79,0.506,0.58,0.283,0.641,0,227173.1667
Mozambique,0.654,0.58,0.506,0.851,0.777,0,175561.1667
Honduras,0.271,0.629,0.493,0.876,0.53,0,174327.5
Madagascar,0.172,0,0.481,0.888,0.604,0,162246.3333
Iran,0.679,0.901,0.419,0.53,0,0,84176.33333
Afghanistan,0.543,0.827,0.864,0.185,0,0,137908.1667
Cambodia,0.716,0,0.629,0.765,0.753,0,136248.8333
Chad,0.74,0,0,0.308,0.592,0,131362.8333
Malaysia,0.728,0,0.728,0.271,0,0,116213.8333
Guatemala,0.283,0.802,0.95,0.802,0,0.95,114706
Malawi,0.617,0.765,0.358,0.679,0,0,111473
Peru,0.703,0.79,0.765,0.419,0.74,0.851,96993
Uganda,0.666,0.604,0.79,0.407,0.481,0,94166.83333
Dem. People's Rep. Korea,0.58,0,0,0.666,0,0,89969.66667
Benin,0.629,0,0,0,0.814,0,86356.16667
Yemen,0.555,0.555,0.395,0.654,0,0,81158.83333
Angola,0.592,0,0,0.432,0,0,76343.5
Canada,0.456,0,0.53,0.296,0.987,0,71451.33333
Bolivia,0.567,0,0.753,0.148,0.666,0,67340.5
Nicaragua,0.358,0.666,0,0.79,0.444,0.777,66827.83333
Tï¿½rkiye,0.111,0.888,0.592,0.111,0.95,0,62718.83333
Paraguay,0.53,0,0,0.358,0.58,0,56767.83333
Senegal,0.518,0,0.543,0.382,0,0,55617
Ecuador,0.16,0.876,0.654,0.135,0.654,0.839,52889.5
Dominican Republic,0.246,0,0,0.777,0,0,46429.66667
Papua New Guinea,0.395,0.814,0.851,0.345,0,0.938,46265.16667
Ghana,0.506,0,0,0.469,0,0,42401
Burkina Faso,0.493,0,0,0.16,0,0,40820.83333
Lao PDR,0.222,0.543,0.456,0.728,0,0,40595.16667
Tanzania,0.432,0.703,0,0.543,0,0,38229.5
Burundi,0.419,0,0.74,0.518,0.567,0,37625.66667
Australia,0.197,0.444,0.407,0.592,0.975,0,37164.33333
Central African Republic,0.444,0,0,0.506,0.728,0,37024.16667
Venezuela,0.481,0,0,0,0,0,33961.5
Fiji,0.135,0.469,0.432,0.703,0,0,33535.16667
"Taiwan, China",0.049,0.617,0.716,0.753,0,0,33373.33333
Cameroon,0.469,0,0.555,0,0,0,29156.66667
Vanuatu,0.024,0.456,0.567,0.691,0,0.913,28816.16667
Congo,0.407,0,0.691,0,0,0,26642.66667
Argentina,0.37,0.481,0.666,0.37,0.691,0.827,25348.66667
Syria,0.32,0,0,0.395,0.888,0,21169.66667
Iraq,0.345,0.679,0,0.222,0.716,0,24649.66667
Namibia,0.382,0,0,0.123,0,0,24368
South Africa,0.308,0,0,0.444,0.864,0,23781.5
Italy,0.061,0.839,0.518,0.259,0.79,0.79,23671.5
Russia,0.333,0,0,0.234,0.876,0,22315.83333
Zimbabwe,0.209,0,0.37,0.58,0.432,0,19914.83333
El Salvador,0.185,0.641,0.641,0.555,0,0.864,18978.83333
Mali,0.296,0,0,0,0,0,18923.33333
Rwanda,0.098,0.728,0.839,0.567,0,0,17299.66667
Greece,0.037,0.753,0.382,0.246,0.938,0,17158.5
Zambia,0.259,0.493,0.444,0.197,0,0,16737.5
Spain,0.074,0.74,0,0.209,0.925,0.901,16385.66667
Puerto Rico,0,0.716,0,0.617,0,0,15405.66667
Bosnia and Herzegovina,0.234,0,0,0,0,0,15282.16667
Israel,0.012,0,0,0,0.962,0,
Test-1,0.9,0.2,0.8,0.1,0.2,0.1,1
Test-2,0.2,0.1,0.1,0.9,0.8,0.2,1